000 | ID:0568 | DONE | JP: '  南茱:店貢も他の茖もいない' | EN: 'Nanjo: Neither clerk nor other customers are present.'
001 | ID:0569 | TODO | JP: '無気味だな ここは' | EN: ''
002 | ID:0570 | DONE | JP: '   ブラウン:この店のモノって' | EN: 'Brown: ...'
003 | ID:0571 | TODO | JP: 'このコンビニ どうみても' | EN: ''
004 | ID:0572 | DONE | JP: ' 菱美旡生をつねりますか?' | EN: 'Pinch Hishimi-sensei?'
005 | ID:0573 | DONE | JP: ' 菱美旡生:あっち行って!' | EN: 'Hishimi-sensei: Go away!'
006 | ID:0574 | TODO | JP: 'む   い大石枚長をつねりますか?' | EN: ''
007 | ID:0575 | DONE | JP: '  ゆきの:なんだ!?ここ' | EN: 'Yukino: ...'
008 | ID:0576 | DONE | JP: ' ???:…あら…まぁ' | EN: '???: ...Oh... my.'
009 | ID:0577 | DONE | JP: ' ???:そうだね…' | EN: '???: Indeed...'
010 | ID:0578 | DONE | JP: ' 南茱:なんだ?彼女は' | EN: 'Nanjo: What is this? She is wearing'
011 | ID:0579 | DONE | JP: '  ブラウン:ひょ{204}う!' | EN: 'Brown: ...'
012 | ID:0580 | TODO | JP: 'アヤセ:ねぇ アンタ' | EN: ''
013 | ID:0581 | TODO | JP: '  ???:うふふ' | EN: ''
014 | ID:0582 | TODO | JP: 'ここは 私の' | EN: ''
015 | ID:0583 | TODO | JP: '私のためだけの 夢' | EN: ''
016 | ID:0584 | TODO | JP: 'そう この｜ヒュプノスの塔』の守護を雪の女王よりまかされた' | EN: ''
017 | ID:0585 | TODO | JP: '私 ｜広臘 久美』の夢なのよ' | EN: ''
018 | ID:0586 | TODO | JP: 'ヒュプノス:そうだね 久美' | EN: ''
019 | ID:0587 | TODO | JP: 'どうする 久美?' | EN: ''
020 | ID:0588 | TODO | JP: 'あいつら ちょっと' | EN: ''
021 | ID:0589 | TODO | JP: 'なぜ ひと思いに殺さず' | EN: ''
022 | ID:0590 | TODO | JP: 'では あなた運が学枚の人引を' | EN: ''
023 | ID:0591 | DONE | JP: '   久美:…ふ…うふふふ…' | EN: 'Kumi: ...Heh... Ufufufu...'
024 | ID:0592 | TODO | JP: 'しかたないわね あなたたちも' | EN: ''
025 | ID:0593 | TODO | JP: '  ヒュプノス:そうだね 久美' | EN: ''
026 | ID:0594 | TODO | JP: 'でも あいつらが' | EN: ''
027 | ID:0595 | TODO | JP: '久美のこと 理解できない' | EN: ''
028 | ID:0596 | TODO | JP: 'あいつらは 久美が' | EN: ''
029 | ID:0597 | TODO | JP: 'さ 見せてやろう' | EN: ''
030 | ID:0598 | TODO | JP: 'そして 教えてやろう!' | EN: ''
031 | ID:0599 | DONE | JP: ' ゆきの:え…何!?' | EN: 'Yukino: ...'
032 | ID:0600 | DONE | JP: '   うの彼:えっ?ありゃ?' | EN: 'Boyfriend: Huh? What?'
033 | ID:0601 | DONE | JP: '  演馴部部長:ちょっと広臘さん' | EN: 'Drama Club President: Excuse me, Hirose-san!'
034 | ID:0602 | TODO | JP: 'あなた最近 演馴部の練瓷に' | EN: ''
035 | ID:0603 | TODO | JP: 'みんな いっしょうけんめい' | EN: ''
036 | ID:0604 | TODO | JP: '演馴部貢:そ{204}だよ 久美' | EN: ''
037 | ID:0605 | TODO | JP: '選ばれといて それはないよね' | EN: ''
038 | ID:0606 | TODO | JP: 'あんた もしかして' | EN: ''
039 | ID:0607 | TODO | JP: '演馴部貢:でも マジな話' | EN: ''
040 | ID:0608 | TODO | JP: '台謁あわせ' | EN: ''
041 | ID:0609 | DONE | JP: '  演馴部貢:うわちゃ{204}' | EN: 'Drama Club Member: Yeesh~'
042 | ID:0610 | TODO | JP: 'さすが クラスいちのガリ勉の' | EN: ''
